ID	Race	Grades	Sex	Name	Desc	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6		IsCreat
1069030	Human	1	1	六界至尊	[NAME]是仙剑奇侠传已知登场的最强角色，拥有毁天灭地的力量，除神隐的三皇以及临凡的飞蓬外，仙剑世界之中几乎没有他的对手。魔神在人间不能发挥最大的魔力，但重楼的力量也足以应付各种妖魔仙神。	-1	0	0	0	0	20	0,0	0,0	20,2	20,1	15,2	20,2	19,2	20,2	20,1	20,1	0,0	20,2	0,0	0,0	0,0	LunHui_51	LunHui_47	LunHui_41	LunHui_12	LunHui_3	RunFast	0	1
1069013	Human	0	1	蜀山剑仙	[NAME]是李三思的儿子，李寒空的后人；出生于盛渔村，在李家客栈当店小二。后经历种种，拜入蜀山仙剑派，还担任了第二十七代掌门；而后退位，成为蜀山七圣之一。	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0	1
1069014	Human	1	1	旷世奇侠	[NAME]原是一乡下客栈店小二，天资聪颖，因一壶酒被酒剑仙传授了蜀山仙剑派剑术，在仙灵岛与赵灵儿相遇，自此经历重重磨难成长为一代旷世奇侠。	-1	0	0	0	0	20	0,0	0,0	20,2	20,1	20,2	20,2	19,2	20,2	20,1	20,1	0,0	20,2	0,0	0,0	0,0	LunHui_51	LunHui_47	LunHui_41	LunHui_12	LunHui_3	RunFast	0	1
1069059	Human	0	2	女娲后人	[NAME]女娲族是人与神混血，是上古三神之一的女娲被贬于人间后诞生的后代，属于半神半凡，但在血统上属于正神。女娲族在灵力爆发时要高于普通天神级别，而蛇身是女娲下凡沾浊气后留给后代的妖身。	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	BeautifulFace2	LunHui_61	DeepPotential	0	1
1069060	Human	1	2	梦蛇	[NAME]在使用梦蛇后，女娲族的能力会大幅提升。这也是女娲族所特有的招数。	-1	0	0	0	0	20	0,0	0,0	20,2	20,2	20,2	20,2	20,2	15,2	20,2	20,2	0,0	20,2	0,0	0,0	0,0	LunHui_51	LunHui_34	Affinity	LunHui_12	LunHui_3	RunFast	0	1
1069073	Human	0	2	南林北沈	[NAME]南武林盟主林天南独女，后为蜀山派掌门李逍遥夫人。天资灵秀，聪敏慧黠，情深义重。身为江南武林魁首林家堡之武门千金，与李逍遥不打不相识，并在此后的寻人旅途中相知相恋。在经历过重重艰辛和生离死别后，二人终于携手而共结连理，与高堂娇儿共享天伦。	-1	0	0	0	0	20	0,0	0,0	20,2	20,2	15,2	20,2	20,2	15,2	20,2	20,2	0,0	20,2	0,0	0,0	0,0	LunHui_51	Craftsman	LunHui_61	LunHui_12	LunHui_3	RunFast	0	1
1069074	Human	1	2	乾坤一掷	[NAME]月如与逍遥一路过关斩将，终于在锁妖塔底层找到了人首蛇身的赵灵儿。逍遥倍受打击之下，忆起与灵儿的夫妻关系。看到爱人转眼间成为别人的丈夫，月如心伤无比，却依然展露笑颜，更安慰起神情憔悴的灵儿。在这危机重重的锁妖塔底，三人却第一次心意相通。联手打败了镇狱明王后，三人进入化妖池，一一击碎由七条巨龙守护的盘龙剑柱。锁妖塔终于由内崩塌，而月如为救化妖池中的逍遥与身怀六甲的灵儿，竟被落下的巨石砸中天灵，月如芳魂就此而殒。	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	BeautifulFace2	YangBody	DeepPotential	0	1
1069075	Human	0	1	蜀山剑仙	[NAME]在《仙剑奇侠传三外传·问情篇》中，司徒钟是蜀山仙剑派俗家弟子，于武学上极有天赋，唯独嗜酒如命，举止狂放，不在意任何规矩法度，被师门视为异类，也常被师兄说教。与南宫煌的顽皮无赖倒是臭味相投，成了莫逆之交；在《仙剑奇侠传》中，自称酒剑仙，传授武艺于李逍遥，是李逍遥的恩师。	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0	
1069076	Human	1	1	酒神	[NAME]玩世不恭游戏人间，自创“酒神”绝技，以酒作乐，酒喝越多越有精神，没酒喝反而会醉倒。年轻时为庇护南宫煌，他不惜承受被逐出师门的处罚，只因为他相信自己兄弟的秉性。他相信即使是妖，也会有正邪，这在当时以除妖为己任的蜀山几乎是离经叛道的想法。（此剧情与《仙剑奇侠传》中酒剑仙立志斩尽世间妖魔、被彩依感动重返蜀山的设定有所冲突）立誓尝遍天下美酒，斩尽世间妖魔。虽然一生降妖无数，潇洒不羁，却从不滥杀无辜，彩依为救刘晋元散去千年修为，为其深情感动的酒剑仙更是感叹妖亦有情。可见他虽然性情淡泊，却并非无情。后来偶遇李逍遥，他虽然欣赏李逍遥的修行天赋，传艺给他，但却不想让自己有所牵累，不收其为弟子，而后继续快意江湖，醉看人间。	-1	0	0	0	0	20	0,0	0,0	20,2	20,1	15,2	20,2	19,2	20,2	20,1	20,1	0,0	20,2	0,0	0,0	0,0	LunHui_51	LunHui_47	LunHui_41	LunHui_12	LunHui_3	RunFast	0	
1069071	Human	0	2	巫月神教	[NAME]是白苗族的少主。外表一派天真烂漫，娇俏可爱，施用巫术毒蛊的手段却叫人毛骨悚然。对李逍遥一往情深，但逍遥已有所爱，只得默默伴随一旁。后成为巫月神教的教主，担任新一代圣姑，人称“海棠夫人”。收李逍遥的外孙女小蛮为徒。	-1	0	0	0	0	20	0,0	0,0	20,2	20,2	20,2	20,2	20,2	15,2	20,2	20,2	0,0	20,2	0,0	0,0	0,0	LunHui_51	Craftsman	LunHui_61	LunHui_12	LunHui_3	RunFast	0	
1069072	Human	1	2	万蛊噬天	拜月教主想让黑苗族君临天下，要拿[NAME]和逍遥作为水魔兽的祭品。此时，赵灵儿出现，三人合力打败拜月教主；拜月教主跳入了水中。[NAME]正开心他不能再耍阴谋，却发现水变红，原来拜月教主与水魔兽合体，引发了大洪水。[NAME]落入水中，被逍遥救了下来。但灵儿却牺牲了自己，与拜月教主同归于尽。逍遥向[NAME]告别，阿奴以笛音送之。	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	BeautifulFace2	YangBody	DeepPotential	0	
